School Name,Student Number,Grade,Program Code,BPS Race,First Lang,Home Lang,Home Lang 2,Home Lang 3,SN Code,21-22 ACCESS Overall,22-23 ACCESS Overall,,,,,,,,,,,,,,,,,
School AG,212014,1,REG,Hispanic,Spanish,English,Spanish,,S1,1.6,3.6,,,,,,,,,,,,,,,,,
School D,139543,1,REG,Hispanic,Spanish,English,Spanish,,,1.5,3.5,,,,,,,,,,,,,,,,,
School AH,174141,1,BLS,Hispanic,Spanish,Spanish,Spanish,Spanish,,1.4,3.4,,,,,,,,,,,,,,,,,
School AI,159982,1,SI4,Black,English,Haitian Creole,English,,Y3,1.1,3.1,,,,,,,,,,,,,,,,,
School AJ,150687,4,TLS,Hispanic,Spanish,English,Spanish,Spanish,,1.9,3.9,,,,,,,,,,,,,,,,,
School F,248460,1,BLC,Asian,Cantonese,English,Mandarin,Cantonese,,1.6,3.6,,,,,,,,,,,,,,,,,
School J,172620,1,REG,Black,Haitian Creole,Haitian Creole,,,,1.9,3.9,,,,,,,,,,,,,,,,,
School U,146982,1,REG,Asian,Vietnamese,Vietnamese,,,S1,1.4,3.4,,,,,,,,,,,,,,,,,
School AI,106515,1,REG,Hispanic,Spanish,Spanish,,,,1.1,3.1,,,,,,,,,,,,,,,,,
School F,285870,1,BLC,Asian,Cantonese,English,Cantonese,,,1.9,3.9,,,,,,,,,,,,,,,,,
School R,164237,1,REG,Black,Swahili,English,Swahili,,,1.7,3.7,,,,,,,,,,,,,,,,,
School X,197974,2,TLS,Hispanic,Spanish,Spanish,,,,1.4,3.4,,,,,,,,,,,,,,,,,
School AE,240967,1,REG,White,Portuguese,Portuguese,,,,1,3,,,,,,,,,,,,,,,,,
School U,166008,1,SI4,Asian,Vietnamese,English,Vietnamese,,Y3,1.1,3.1,,,,,,,,,,,,,,,,,
School AK,128390,1,BLS,Hispanic,Spanish,Spanish,,,,1.7,3.7,,,,,,,,,,,,,,,,,
School F,268321,1,BLC,Asian,Cantonese,Cantonese,Mandarin,,,1.8,3.8,,,,,,,,,,,,,,,,,
School AD,244384,6,BLM,White,Portuguese,Portuguese,Spanish,English,,1.8,3.8,,,,,,,,,,,,,,,,,
School AL,170736,4,REG,Hispanic,Spanish,English,,,,1.8,3.8,,,,,,,,,,,,,,,,,
School AJ,257330,2,TLS,Hispanic,Spanish,Spanish,,,,1.8,3.8,,,,,,,,,,,,,,,,,
School AI,226571,1,SI4,Black,Spanish,English,Spanish,,Y3,1.3,3.3,,,,,,,,,,,,,,,,,
School AM,245836,9,REG,Hispanic,Spanish,Spanish,,,,1.8,3.8,,,,,,,,,,,,,,,,,
School C,291245,5,REG,Hispanic,Spanish,Spanish,,,,1.8,3.8,,,,,,,,,,,,,,,,,
School AN,297699,4,REG,Hispanic,Spanish,Spanish,,,,2.1,4.8,,,,,,,,,,,,,,,,,
School AO,245770,4,REG,Hispanic,Spanish,Spanish,,,,2.7,5.3,,,,,,,,,,,,,,,,,
School AE,130348,3,REG,Asian,Russian,Russian,,,,2,4.6,,,,,,,,,,,,,,,,,
School AB,233674,3,REG,Hispanic,Spanish,Spanish,,,,2.5,4.9,,,,,,,,,,,,,,,,,
School L,214531,4,REG,Hispanic,Spanish,Spanish,English,,,2.4,4.7,,,,,,,,,,,,,,,,,
School F,143498,1,REG,Asian,Cantonese,Cantonese,Cantonese,Cantonese,,2.7,5,,,,,,,,,,,,,,,,,
School AP,249775,4,REG,Hispanic,Spanish,English,Spanish,,,2,4.3,,,,,,,,,,,,,,,,,
School AQ,274176,9,REG,Black,Cape Verdean,English,Cape Verdean,Portuguese,,2.3,4.6,,,,,,,,,,,,,,,,,
School C,211330,4,SL4,White,Spanish,Spanish,,,L4,2.3,4.6,,,,,,,,,,,,,,,,,
School AD,279341,4,BLM,White,Arabic,Arabic,,,,2.3,4.5,,,,,,,,,,,,,,,,,
School U,241103,5,REG,Hispanic,Spanish,Spanish,,,R2,2,4.2,,,,,,,,,,,,,,,,,
School AH,240541,5,REG,Hispanic,Spanish,Spanish,English,,R2,2.2,4.4,,,,,,,,,,,,,,,,,
School A,258017,4,REG,Hispanic,Spanish,Spanish,,,R1,2.5,4.7,,,,,,,,,,,,,,,,,
School C,125651,1,BLS,Hispanic,Spanish,Spanish,,,,2.7,4.9,,,,,,,,,,,,,,,,,
School AE,224793,4,REG,Hispanic,Spanish,Spanish,,,,2.1,4.3,,,,,,,,,,,,,,,,,
School AE,270377,4,REG,Hispanic,Spanish,Spanish,,,,2.6,4.8,,,,,,,,,,,,,,,,,
School AE,127950,2,REG,White,Russian,Russian,,,,2.6,4.8,,,,,,,,,,,,,,,,,
School AR,116023,1,REG,Asian,Vietnamese,Vietnamese,English,,,2.1,4.3,,,,,,,,,,,,,,,,,
School AS,245777,4,REG,Hispanic,Spanish,English,Spanish,,,2.8,4.9,,,,,,,,,,,,,,,,,
School AT,249925,12,BLK,Black,Cape Verdean,Cape Verdean,,,,2.4,4.5,,,,,,,,,,,,,,,,,
School AU,125891,1,BLM,Hispanic,Spanish,Spanish,English,,,2.1,4.2,,,,,,,,,,,,,,,,,
