School Name,Student Number,Grade,Program Code,BPS Race,First Lang,Home Lang,Home Lang 2,Home Lang 3,SN Code,21-22 ACCESS Overall,22-23 ACCESS Overall,,,,,,,,,,,,,,,,,
School BM,210347,2,BLS,Hispanic,Spanish,Spanish,English,,S1,1.9,2.8,,,,,,,,,,,,,,,,,
School P,103404,1,TLS,Hispanic,Spanish,Spanish,,,S1,1,1.9,,,,,,,,,,,,,,,,,
School O,114784,2,BLM,Hispanic,Spanish,Spanish,,,R1,1.5,2.4,,,,,,,,,,,,,,,,,
School P,231041,1,TLS,Hispanic,Spanish,Spanish,,,,1,1.9,,,,,,,,,,,,,,,,,
School AU,147801,1,BLM,Hispanic,Spanish,Spanish,,,,1.4,2.3,,,,,,,,,,,,,,,,,
School BM,173362,3,BLS,Hispanic,Spanish,English,Spanish,,,1.9,2.8,,,,,,,,,,,,,,,,,
School S,136832,1,REG,Hispanic,Spanish,English,Spanish,,S1,1.1,2,,,,,,,,,,,,,,,,,
School P,227636,2,TLS,Hispanic,Spanish,English,Spanish,,,1.9,2.8,,,,,,,,,,,,,,,,,
School C,235437,4,SL4,Hispanic,Spanish,English,Spanish,,L4,1.9,2.8,,,,,,,,,,,,,,,,,
School AK,259394,1,BLS,Hispanic,Spanish,Spanish,,,,1,1.9,,,,,,,,,,,,,,,,,
School A,226936,1,BLM,Hispanic,Spanish,Spanish,,,,1,1.9,,,,,,,,,,,,,,,,,
School AS,272381,4,REG,Black,Spanish,English,Spanish,Haitian Creole,R2,1.9,2.8,,,,,,,,,,,,,,,,,
School O,288313,3,BLM,White,Italian,Italian,,,,1.9,2.8,,,,,,,,,,,,,,,,,
School T,100296,8,BLM,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School CJ,165609,6,BIS,Hispanic,Spanish,Spanish,,,,1.4,2.2,,,,,,,,,,,,,,,,,
School X,289569,1,TLE,Hispanic,Spanish,English,Spanish,,,1.4,2.2,,,,,,,,,,,,,,,,,
School CT,196688,9,BLM,Black,Haitian Creole,Haitian Creole,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School CA,157765,10,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School CC,268665,1,REG,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School CD,283457,12,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School BP,116230,7,BLK,Black,Cape Verdean,Cape Verdean,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School Q,212872,1,TLV,Other,Vietnamese,English,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School CN,220393,9,BLM,Black,Cape Verdean,Cape Verdean,Portuguese,,,1.9,2.7,,,,,,,,,,,,,,,,,
School BU,249771,10,BLM,Hispanic,Spanish,English,Spanish,,,1.9,2.7,,,,,,,,,,,,,,,,,
School BU,236835,10,BLM,Hispanic,Spanish,English,Spanish,,,1.9,2.7,,,,,,,,,,,,,,,,,
School AE,161366,1,REG,Hispanic,Spanish,Spanish,,,S1,1.9,2.7,,,,,,,,,,,,,,,,,
School AB,117104,5,BLS,Hispanic,Spanish,Spanish,,,R1,1.9,2.7,,,,,,,,,,,,,,,,,
School C,109214,1,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School CC,147717,2,REG,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School AD,264929,5,SI4,Hispanic,Portuguese,Portuguese,,,L3,1.9,2.7,,,,,,,,,,,,,,,,,
School AA,250906,2,SI4,Hispanic,Spanish,Spanish,,,Y3,1.9,2.7,,,,,,,,,,,,,,,,,
School W,151844,8,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School AJ,111153,1,TLE,Hispanic,English,English,Spanish,,,1.9,2.7,,,,,,,,,,,,,,,,,
School AD,161837,4,BIM,Hispanic,Portuguese,Portuguese,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School DE,123917,11,SQ4,Hispanic,Spanish,Spanish,Spanish,,Q4,1.9,2.7,,,,,,,,,,,,,,,,,
School BO,218161,3,SA4,Hispanic,Spanish,Spanish,,,A4,1.9,2.7,,,,,,,,,,,,,,,,,
School AA,233239,2,SI4,Hispanic,Spanish,English,Spanish,,Y3,1.9,2.7,,,,,,,,,,,,,,,,,
School BR,218031,2,REG,Hispanic,English,English,Spanish,,,1.9,2.7,,,,,,,,,,,,,,,,,
School BB,224757,1,REG,Hispanic,Spanish,English,,,S1,1.9,2.7,,,,,,,,,,,,,,,,,
School BW,110855,4,SL4,Black,Cape Verdean,English,Cape Verdean,,L4,1.9,2.7,,,,,,,,,,,,,,,,,
School A,177238,8,BLM,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School AJ,108353,3,TLS,Hispanic,Spanish,Spanish,,,R1,1.9,2.7,,,,,,,,,,,,,,,,,
School W,221953,10,BLS,Hispanic,Spanish,Spanish,Other,,,1.9,2.7,,,,,,,,,,,,,,,,,
School AA,130635,1,BLM,Hispanic,Spanish,Spanish,,,,1.9,2.7,,,,,,,,,,,,,,,,,
School AJ,103610,6,TLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School DG,257784,10,REG,Black,French Patois,French,English,,,1.8,2.6,,,,,,,,,,,,,,,,,
School AH,233058,1,BLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School BE,160148,2,REG,White,Arabic,English,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School BA ,140482,1,BLM,Black,Portuguese,Portuguese,,,S1,1,1.8,,,,,,,,,,,,,,,,,
School BB,143761,1,SI4,Hispanic,Spanish,English,Spanish,,Y3,1,1.8,,,,,,,,,,,,,,,,,
School CC,113597,1,REG,Black,English,English,Cape Verdean,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AA,182008,1,SI4,Hispanic,Spanish,English,Spanish,,Y3,1.8,2.6,,,,,,,,,,,,,,,,,
School BR,289346,1,BLH,Black,Haitian Creole,Haitian Creole,,,,1,1.8,,,,,,,,,,,,,,,,,
School X,263255,2,TLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AA,276555,1,BLM,Black,Amharic,English,Amharic,,,1.8,2.6,,,,,,,,,,,,,,,,,
School P,110025,1,TLS,Hispanic,Spanish,English,Spanish,,,1,1.8,,,,,,,,,,,,,,,,,
School BL,252963,1,SI4,Hispanic,Spanish,English,Spanish,,Y3,1.8,2.6,,,,,,,,,,,,,,,,,
School BM,201997,1,BLS,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School C,200990,1,BLS,Hispanic,Spanish,Spanish,,,,1,1.8,,,,,,,,,,,,,,,,,
School CB,137207,12,SL4,Hispanic,Spanish,English,Spanish,,L4,1.8,2.6,,,,,,,,,,,,,,,,,
School O,235969,2,BLM,Hispanic,Portuguese,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School J,108372,4,BIK,Black,Cape Verdean,Cape Verdean,Portuguese,,,1.8,2.6,,,,,,,,,,,,,,,,,
School BR,117456,5,BLH,Black,Haitian Creole,Haitian Creole,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AH,259725,3,SI4,White,Arabic,Arabic,,,X3,1.8,2.6,,,,,,,,,,,,,,,,,
School V,113342,7,BIH,Black,Haitian Creole,Haitian Creole,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School AD,170704,2,REG,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School BU,168246,9,BLM,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School BL,222983,1,SI4,Black,Cape Verdean,Cape Verdean,English,,Y3,1,1.8,,,,,,,,,,,,,,,,,
School AA,287941,1,REG,Hispanic,English,English,Spanish,,,1.7,2.5,,,,,,,,,,,,,,,,,
School Q,224245,1,REG,Black,English,English,Cape Verdean,,,1.3,2.1,,,,,,,,,,,,,,,,,
School AH,232099,1,BLS,Hispanic,Spanish,Spanish,,,R1,1,1.8,,,,,,,,,,,,,,,,,
School W,254073,7,BLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AD,265479,4,BLM,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School CD,172965,9,BLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School BX,175853,9,BLS,Hispanic,Spanish,Spanish,English,,,1.7,2.5,,,,,,,,,,,,,,,,,
School X,194314,4,TLS,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School BB,263853,3,REG,Hispanic,Spanish,Spanish,Spanish,,,1.8,2.6,,,,,,,,,,,,,,,,,
School X,101266,2,TLS,Hispanic,Spanish,Spanish,,,S1,1.8,2.6,,,,,,,,,,,,,,,,,
School AI,149614,1,SI4,Black,Other,English,,,Y3,1.2,2,,,,,,,,,,,,,,,,,
School J,226246,3,REG,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AJ,243378,1,TLS,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School AI,172027,1,SX4,Hispanic,English,English,Spanish,,X4,1,1.8,,,,,,,,,,,,,,,,,
School AF,277396,1,REG,Hispanic,English,English,Spanish,,,1.2,2,,,,,,,,,,,,,,,,,
School BA ,101364,1,SI4,Hispanic,Spanish,Spanish,English,,Y3,1.2,2,,,,,,,,,,,,,,,,,
School Q,195558,1,TLV,Asian,Vietnamese,Vietnamese,,,,1,1.8,,,,,,,,,,,,,,,,,
School AY,259954,1,REG,Hispanic,Spanish,Spanish,,,,1.2,2,,,,,,,,,,,,,,,,,
School BO,111744,2,REG,Hispanic,Spanish,Spanish,,,R1,1.8,2.6,,,,,,,,,,,,,,,,,
School AK,218025,1,BLS,Hispanic,Spanish,Spanish,English,,,1,1.8,,,,,,,,,,,,,,,,,
School CJ,160156,8,BLS,Hispanic,Spanish,English,Spanish,,,1.8,2.6,,,,,,,,,,,,,,,,,
School CA,152960,9,BLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School W,118760,8,REG,White,Portuguese,Portuguese,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School P,273397,1,TLE,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School BU,253880,12,BLM,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School V,269391,8,BLH,Black,Haitian Creole,Haitian Creole,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School C,238980,2,BLS,Hispanic,Spanish,Spanish,English,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AK,118965,1,BLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School BO,188664,1,SI4,Hispanic,English,English,Spanish,,X3,1.8,2.6,,,,,,,,,,,,,,,,,
School AV,185124,2,TLE,Black,Haitian Creole,Haitian Creole,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School S,229982,1,BLS,Hispanic,Spanish,Spanish,Spanish,Spanish,,1,1.8,,,,,,,,,,,,,,,,,
School W,286044,11,REG,Hispanic,Portuguese,Portuguese,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School BO,133560,1,REG,Hispanic,Spanish,Spanish,English,,,1.3,2.1,,,,,,,,,,,,,,,,,
School AD,242205,1,BLM,Hispanic,Spanish,Spanish,English,,,1.2,2,,,,,,,,,,,,,,,,,
School C,238150,1,BLS,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School AJ,215876,2,TLS,Hispanic,Spanish,Spanish,,,,1.8,2.6,,,,,,,,,,,,,,,,,
School BM,131426,1,REG,Hispanic,English,English,Spanish,,,1.8,2.6,,,,,,,,,,,,,,,,,
School CR,119376,12,BLM,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AK,269882,1,REG,Hispanic,English,English,Spanish,,,1.8,2.6,,,,,,,,,,,,,,,,,
School M,128354,1,REG,Black,Amharic,Amharic,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School X,220113,1,TLS,Hispanic,Spanish,Spanish,,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AD,284975,1,BLM,Hispanic,Spanish,Spanish,,,,1,1.8,,,,,,,,,,,,,,,,,
School Y,136651,1,REG,Hispanic,Spanish,Spanish,English,,,1.7,2.5,,,,,,,,,,,,,,,,,
School F,294028,4,BLC,Asian,Toishanese,Mandarin,Toishanese,,,1.7,2.5,,,,,,,,,,,,,,,,,
School AH,127565,1,REG,Hispanic,Spanish,Spanish,,,S1,1.6,2.4,,,,,,,,,,,,,,,,,
School AH,123905,1,BLS,Hispanic,Spanish,Spanish,,,,1.5,2.3,,,,,,,,,,,,,,,,,
School BA ,233662,1,BLM,Hispanic,Spanish,English,Spanish,Portuguese,,1.1,1.9,,,,,,,,,,,,,,,,,
School L,236004,1,BLS,Hispanic,Spanish,Spanish,,,R1,1.1,1.9,,,,,,,,,,,,,,,,,
School AH,111222,2,BLS,Hispanic,Spanish,Spanish,,,Y3,1.5,2.3,,,,,,,,,,,,,,,,,
School O,232972,6,REG,Hispanic,Spanish,Spanish,,,,1.5,2.3,,,,,,,,,,,,,,,,,
School AB,178446,2,BLS,Hispanic,Spanish,Spanish,English,,,1.6,2.4,,,,,,,,,,,,,,,,,
School F,281479,1,SI4,Asian,English,Toishanese,,,Y3,1.5,2.3,,,,,,,,,,,,,,,,,
School BU,194344,9,BLM,Hispanic,Spanish,Spanish,,,,1.5,2.3,,,,,,,,,,,,,,,,,
School AZ,112613,1,REG,White,Arabic,Arabic,English,,S1,1.5,2.3,,,,,,,,,,,,,,,,,
School AD,283605,8,BLM,Hispanic,Portuguese,Portuguese,,,,1.5,2.3,,,,,,,,,,,,,,,,,
School Y,107095,K2,KED,Hispanic,Spanish,English,Spanish,,,1.1,1.9,,,,,,,,,,,,,,,,,
School AJ,115352,1,TLS,Hispanic,Spanish,Spanish,,,,1.6,2.4,,,,,,,,,,,,,,,,,
School N,248154,1,BLS,Hispanic,Spanish,Spanish,,,,1.1,1.9,,,,,,,,,,,,,,,,,
School AC,266999,1,SI4,Hispanic,Spanish,Spanish,English,,Y3,1.5,2.3,,,,,,,,,,,,,,,,,
School F,277942,1,SI4,Asian,Toishanese,Toishanese,,,Y3,1.5,2.3,,,,,,,,,,,,,,,,,
School W,151008,10,BLS,Hispanic,Spanish,Spanish,,,,1.6,2.4,,,,,,,,,,,,,,,,,
School AD,169942,6,BLM,White,Portuguese,Portuguese,,,,1.6,2.4,,,,,,,,,,,,,,,,,
School BD,113035,1,REG,Hispanic,Spanish,Spanish,,,,1.1,1.9,,,,,,,,,,,,,,,,,
School P,266945,1,TLS,Hispanic,Spanish,Spanish,,,,1.1,1.9,,,,,,,,,,,,,,,,,
School M,200227,1,BLS,Hispanic,Spanish,Spanish,,,R1,1.1,1.9,,,,,,,,,,,,,,,,,
School T,109306,6,BLM,Hispanic,Spanish,Spanish,,,,1.5,2.3,,,,,,,,,,,,,,,,,
School AK,190310,1,BLS,Hispanic,Spanish,Spanish,,,S1,1.1,1.9,,,,,,,,,,,,,,,,,
School U,259588,1,BLM,Asian,Vietnamese,English,Vietnamese,,,1.6,2.4,,,,,,,,,,,,,,,,,
School CD,122560,9,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School AH,126051,3,SI4,Hispanic,Spanish,Spanish,,,Y3,1.9,2.6,,,,,,,,,,,,,,,,,
School BQ,203711,7,REG,White,Arabic,English,Arabic,,,1.9,2.6,,,,,,,,,,,,,,,,,
School J,198252,1,BLK,Black,Cape Verdean,English,Cape Verdean,,S1,1.5,2.2,,,,,,,,,,,,,,,,,
School CA,113826,10,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School BO,273234,4,SI4,Hispanic,Spanish,Spanish,,,L3,1.9,2.6,,,,,,,,,,,,,,,,,
School AJ,113192,1,TLE,Hispanic,English,English,Spanish,,,1.9,2.6,,,,,,,,,,,,,,,,,
School CD,201198,11,BLM,White,Portuguese,English,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School O,271147,2,BLM,Hispanic,Spanish,Spanish,English,,,1.9,2.6,,,,,,,,,,,,,,,,,
School H,286267,1,REG,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School AD,186777,3,BLM,Hispanic,Portuguese,Portuguese,Spanish,,,1.9,2.6,,,,,,,,,,,,,,,,,
School AI,103080,2,REG,Hispanic,Spanish,Spanish,,,S1,1.9,2.6,,,,,,,,,,,,,,,,,
School S,250564,1,BLS,Hispanic,Spanish,Spanish,,,,1.5,2.2,,,,,,,,,,,,,,,,,
School CJ,235931,7,BIM,Black,Haitian Creole,Haitian Creole,Spanish,,,1.9,2.6,,,,,,,,,,,,,,,,,
School O,271953,3,BLM,White,Portuguese,English,Spanish,Portuguese,,1.9,2.6,,,,,,,,,,,,,,,,,
School DH,207066,4,SX4,Hispanic,Spanish,Spanish,English,,X4,1.9,2.6,,,,,,,,,,,,,,,,,
School T,252693,6,BLM,Black,Spanish,Haitian Creole,Spanish,,,1.5,2.2,,,,,,,,,,,,,,,,,
School AV,168678,2,TLH,Black,Haitian Creole,Haitian Creole,,,,1.5,2.2,,,,,,,,,,,,,,,,,
School J,167465,3,BLK,Black,Cape Verdean,Cape Verdean,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School H,213041,2,SI4,Black,Haitian Creole,English,,,Y3,1.9,2.6,,,,,,,,,,,,,,,,,
School BZ,285299,1,SI4,Black,Haitian Creole,English,Haitian Creole,French,H3,1.4,2.1,,,,,,,,,,,,,,,,,
School X,172604,8,TLS,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School AD,256639,6,BLM,Hispanic,Spanish,Spanish,,,,1.5,2.2,,,,,,,,,,,,,,,,,
School N,292058,1,SI4,Hispanic,Spanish,Spanish,English,,X3,1.5,2.2,,,,,,,,,,,,,,,,,
School C,146448,2,SI4,Hispanic,English,English,Spanish,,Y3,1.9,2.6,,,,,,,,,,,,,,,,,
School O,153828,4,BLM,Hispanic,Spanish,English,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School BM,123673,1,REG,Hispanic,Spanish,English,Spanish,,,1.5,2.2,,,,,,,,,,,,,,,,,
School A,214078,1,REG,Hispanic,Spanish,English,Spanish,,,1.9,2.6,,,,,,,,,,,,,,,,,
School AD,247835,5,BIM,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School CA,285485,9,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School J,115999,6,BLK,Black,Cape Verdean,Cape Verdean,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School BP,104240,8,BLK,Black,Cape Verdean,English,Cape Verdean,,,1.9,2.6,,,,,,,,,,,,,,,,,
School CN,255114,11,BLM,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School AB,200371,3,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.6,,,,,,,,,,,,,,,,,
School BJ,138598,1,REG,Hispanic,English,Spanish,English,,,1.9,2.6,,,,,,,,,,,,,,,,,
School AZ,202290,1,REG,White,Arabic,Arabic,,,,1.2,1.9,,,,,,,,,,,,,,,,,
School M,160574,4,BLS,Hispanic,Spanish,Spanish,,,,1.7,2.4,,,,,,,,,,,,,,,,,
School O,138314,2,REG,Hispanic,Spanish,English,Spanish,,R1,1.8,2.5,,,,,,,,,,,,,,,,,
School P,170320,1,TLS,Hispanic,Spanish,Spanish,,,,1.1,1.8,,,,,,,,,,,,,,,,,
School P,130480,1,TLE,Hispanic,Spanish,Spanish,,,,1.7,2.4,,,,,,,,,,,,,,,,,
School B,223176,9,BLM,White,Portuguese,Portuguese,Spanish,,,1.8,2.5,,,,,,,,,,,,,,,,,
School CD,230610,11,BLM,Hispanic,Portuguese,Portuguese,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School G,277563,3,REG,Hispanic,Spanish,English,Spanish,,R2,1.8,2.5,,,,,,,,,,,,,,,,,
School W,237158,11,REG,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School W,211967,11,BIS,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School BQ,106422,1,REG,Hispanic,Spanish,English,Spanish,,S1,1.3,2,,,,,,,,,,,,,,,,,
School CD,267289,12,BLS,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School D,176417,2,REG,Black,Cape Verdean,Cape Verdean,Portuguese,,,1,1.7,,,,,,,,,,,,,,,,,
School P,171138,1,TLS,Hispanic,Spanish,Spanish,English,,,1.3,2,,,,,,,,,,,,,,,,,
School AR,239842,1,REG,Black,English,English,Cape Verdean,Portuguese,,1.7,2.4,,,,,,,,,,,,,,,,,
School A,169207,1,BLM,Hispanic,Spanish,Spanish,English,,,1.7,2.4,,,,,,,,,,,,,,,,,
School N,208616,1,BLS,Hispanic,Spanish,Spanish,,,,1.1,1.8,,,,,,,,,,,,,,,,,
School AD,288420,1,BLM,Hispanic,Spanish,Spanish,,,R1,1,1.7,,,,,,,,,,,,,,,,,
School AF,121301,4,SI4,Hispanic,Spanish,English,Spanish,,X3,1.7,2.4,,,,,,,,,,,,,,,,,
School Z,266045,2,SA4,Hispanic,Spanish,Spanish,English,,A4,1.7,2.4,,,,,,,,,,,,,,,,,
School AF,162223,1,SI4,Black,Haitian Creole,Haitian Creole,,,Y3,1.2,1.9,,,,,,,,,,,,,,,,,
School J,193279,1,REG,Black,Haitian Creole,English,Haitian Creole,,R1,1.3,2,,,,,,,,,,,,,,,,,
School BZ,233388,1,BLM,Black,Cape Verdean,English,Cape Verdean,Portuguese,,1.3,2,,,,,,,,,,,,,,,,,
School AJ,201188,1,TLS,Hispanic,Spanish,Spanish,English,,,1.1,1.8,,,,,,,,,,,,,,,,,
School C,184354,1,BLS,Hispanic,Spanish,English,Spanish,,,1.3,2,,,,,,,,,,,,,,,,,
School T,137330,4,BLM,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School CA,138574,11,BLS,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School D,184573,1,REG,Black,Somali,Somali,English,,,1.1,1.8,,,,,,,,,,,,,,,,,
School BO,125553,5,SI4,Hispanic,Spanish,Spanish,,,X3,1.8,2.5,,,,,,,,,,,,,,,,,
School AF,216615,1,REG,Hispanic,Spanish,English,Spanish,,,1.8,2.5,,,,,,,,,,,,,,,,,
School AB,145231,3,BLS,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School BK,290555,1,SI4,Hispanic,Portuguese,Portuguese,,,Y3,1,1.7,,,,,,,,,,,,,,,,,
School BS,253762,1,SI4,White,English,English,Spanish,,Y3,1.1,1.8,,,,,,,,,,,,,,,,,
School S,283880,1,REG,Hispanic,Spanish,English,Spanish,,S1,1.8,2.5,,,,,,,,,,,,,,,,,
School AB,208280,1,BLS,Hispanic,Spanish,English,Spanish,,S1,1.2,1.9,,,,,,,,,,,,,,,,,
School AB,295596,1,BLS,Hispanic,Spanish,Spanish,,,,1,1.7,,,,,,,,,,,,,,,,,
School AJ,173089,1,TLS,Hispanic,Spanish,Spanish,English,,,1.8,2.5,,,,,,,,,,,,,,,,,
School X,268697,1,TLS,Hispanic,Spanish,Spanish,,,,1.2,1.9,,,,,,,,,,,,,,,,,
School AE,142166,1,REG,Hispanic,Spanish,Spanish,,,,1.1,1.8,,,,,,,,,,,,,,,,,
School R,238948,1,REG,Hispanic,English,English,Spanish,,,1.8,2.5,,,,,,,,,,,,,,,,,
School BU,134926,9,BLM,Hispanic,Portuguese,Portuguese,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School BL,274264,1,SI4,Hispanic,Spanish,Spanish,,,Y3,1.3,2,,,,,,,,,,,,,,,,,
School AP,276360,1,BLS,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School O,106120,1,BLM,Hispanic,Spanish,Spanish,,,,1.1,1.8,,,,,,,,,,,,,,,,,
School AD,172086,1,BLM,Hispanic,Portuguese,Portuguese,,,,1,1.7,,,,,,,,,,,,,,,,,
School L,251932,7,REG,Hispanic,Spanish,Spanish,,,,1.8,2.5,,,,,,,,,,,,,,,,,
School AB,167362,1,BLS,Hispanic,Spanish,English,,,S1,1.1,1.8,,,,,,,,,,,,,,,,,
School J,132779,3,BLK,Black,Cape Verdean,Cape Verdean,,,,1.6,2.3,,,,,,,,,,,,,,,,,
School J,261083,5,BIK,Black,Cape Verdean,Portuguese,,,R1,1.6,2.3,,,,,,,,,,,,,,,,,
School C,268005,5,REG,Hispanic,Spanish,Spanish,,,,1.6,2.3,,,,,,,,,,,,,,,,,
School BJ,296279,1,BLS,White,Spanish,Spanish,,,,1.6,2.3,,,,,,,,,,,,,,,,,
School CN,205796,9,VEP,Hispanic,Spanish,Spanish,,,,1.6,2.3,,,,,,,,,,,,,,,,,
School AD,223330,8,BLM,White,Portuguese,Portuguese,,,,1.6,2.3,,,,,,,,,,,,,,,,,
School CP,172054,9,BLC,Asian,Cantonese,Cantonese,Mandarin,Toishanese,,1.6,2.3,,,,,,,,,,,,,,,,,
School BB,227253,1,REG,Black,English,English,Cape Verdean,,,1.6,2.3,,,,,,,,,,,,,,,,,
School X,298560,4,TLS,Hispanic,Spanish,Spanish,,,,1.6,2.3,,,,,,,,,,,,,,,,,
School S,112928,1,REG,White,English,Kurkish,English,Arabic,,1.9,2.5,,,,,,,,,,,,,,,,,
School BQ,252003,6,REG,Asian,Arabic,Arabic,,,,1.9,2.5,,,,,,,,,,,,,,,,,
School AT,279656,9,REG,Hispanic,Spanish,Spanish,,,,1.9,2.5,,,,,,,,,,,,,,,,,
School BS,219235,1,REG,Hispanic,Portuguese,Portuguese,English,,,1,1.6,,,,,,,,,,,,,,,,,
School W,206911,11,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.5,,,,,,,,,,,,,,,,,
School A,218421,2,BLM,Hispanic,Spanish,English,Spanish,,,1.6,2.2,,,,,,,,,,,,,,,,,
School O,175650,5,REG,Hispanic,Portuguese,Portuguese,,,R1,1.6,2.2,,,,,,,,,,,,,,,,,
School W,173508,9,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.5,,,,,,,,,,,,,,,,,
School CP,213201,12,BLS,Hispanic,Spanish,Spanish,,,,1.9,2.5,,,,,,,,,,,,,,,,,
School AI,198989,1,REG,Hispanic,Spanish,Spanish,,,,1.5,2.1,,,,,,,,,,,,,,,,,
School CC,164843,1,REG,Hispanic,Spanish,Spanish,,,,1.6,2.2,,,,,,,,,,,,,,,,,
School BM,147469,1,BLS,Hispanic,Spanish,Spanish,,,,1.4,2,,,,,,,,,,,,,,,,,
School O,142212,1,BLM,Hispanic,Spanish,Spanish,,,,1.2,1.8,,,,,,,,,,,,,,,,,
School L,143781,1,BLS,Hispanic,Spanish,Spanish,,,,1.2,1.8,,,,,,,,,,,,,,,,,
School BD,198999,1,REG,Hispanic,Spanish,Spanish,,,S1,1.9,2.5,,,,,,,,,,,,,,,,,
